transformation,dataset,model,accuracy
time_stretch,fake_sonics,rf_lara,10.2
time_stretch,fake_sonics,knn_lara,4.1
time_stretch,fake_sonics,deezer,33.23
time_stretch,real_sonics,sonics_alpha_5s,89.48
time_stretch,real_sonics,sonics_beta_5s,94.88
time_stretch,real_sonics,sonics_gamma_5s,97.1
time_stretch,real_sonics,sonics_alpha_120s,94.41
time_stretch,real_sonics,sonics_beta_120s,98.91
time_stretch,real_sonics,sonics_gamma_120s,92.75
time_stretch,real_sonics,cnn_lara_dataset,99.86
time_stretch,real_sonics,cnn_sonics,22.1
time_stretch,real_sonics,svm_lara,22.1
time_stretch,real_sonics,rf_lara,10.5
time_stretch,real_sonics,knn_lara,12.7
time_stretch,real_sonics,deezer,55.26
pitch_shift,udio_lara_cros_vila,sonics_alpha_5s,10.3
pitch_shift,udio_lara_cros_vila,sonics_beta_5s,07.09
pitch_shift,udio_lara_cros_vila,sonics_gamma_5s,3.49
pitch_shift,udio_lara_cros_vila,sonics_alpha_120s,12.7
pitch_shift,udio_lara_cros_vila,sonics_beta_120s,5.19
pitch_shift,udio_lara_cros_vila,sonics_gamma_120s,9.21
pitch_shift,udio_lara_cros_vila,cnn_lara_dataset,0.11
pitch_shift,udio_lara_cros_vila,cnn_sonics,0.11
pitch_shift,udio_lara_cros_vila,svm_lara,80
pitch_shift,udio_lara_cros_vila,rf_lara,86.9
pitch_shift,udio_lara_cros_vila,knn_lara,61.5
pitch_shift,udio_lara_cros_vila,deezer,61.75
pitch_shift,suno_lara_cros_vila,sonics_alpha_5s,44.5
pitch_shift,suno_lara_cros_vila,sonics_beta_5s,31.4
pitch_shift,suno_lara_cros_vila,sonics_gamma_5s,26.64
pitch_shift,suno_lara_cros_vila,sonics_alpha_120s,53.02
pitch_shift,suno_lara_cros_vila,sonics_beta_120s,28.29
pitch_shift,suno_lara_cros_vila,sonics_gamma_120s,51.37
pitch_shift,suno_lara_cros_vila,cnn_lara_dataset,74.02
pitch_shift,suno_lara_cros_vila,cnn_sonics,0.07
pitch_shift,suno_lara_cros_vila,svm_lara,10.1
pitch_shift,suno_lara_cros_vila,rf_lara,6.4
pitch_shift,suno_lara_cros_vila,knn_lara,18.1
pitch_shift,suno_lara_cros_vila,deezer,58.4
pitch_shift,real_lara_cros_vila,sonics_alpha_5s,94.26
pitch_shift,real_lara_cros_vila,sonics_beta_5s,95.59
pitch_shift,real_lara_cros_vila,sonics_gamma_5s,97.46
pitch_shift,real_lara_cros_vila,sonics_alpha_120s,93.06
pitch_shift,real_lara_cros_vila,sonics_beta_120s,97.73
pitch_shift,real_lara_cros_vila,sonics_gamma_120s,95.06
pitch_shift,real_lara_cros_vila,cnn_lara_dataset,96.98
pitch_shift,real_lara_cros_vila,cnn_sonics,99.62
pitch_shift,real_lara_cros_vila,svm_lara,93.3
pitch_shift,real_lara_cros_vila,rf_lara,80.8
pitch_shift,real_lara_cros_vila,knn_lara,75.3
pitch_shift,real_lara_cros_vila,deezer,84.75
pitch_shift,fake_sonics,sonics_alpha_5s,15.8
pitch_shift,fake_sonics,sonics_beta_5s,12.19
pitch_shift,fake_sonics,sonics_gamma_5s,7.34
pitch_shift,fake_sonics,sonics_alpha_120s,43.86
pitch_shift,fake_sonics,sonics_beta_120s,22.6
pitch_shift,fake_sonics,sonics_gamma_120s,27.81
pitch_shift,fake_sonics,cnn_lara_dataset,0.01
pitch_shift,fake_sonics,cnn_sonics,63.46
pitch_shift,fake_sonics,svm_lara,21.5
pitch_shift,fake_sonics,rf_lara,8.1
pitch_shift,fake_sonics,knn_lara,8.3
pitch_shift,fake_sonics,deezer,44.4
pitch_shift,real_sonics,sonics_alpha_5s,91.55
pitch_shift,real_sonics,sonics_beta_5s,95.07
pitch_shift,real_sonics,sonics_gamma_5s,97.66
pitch_shift,real_sonics,sonics_alpha_120s,94.13
pitch_shift,real_sonics,sonics_beta_120s,99.02
pitch_shift,real_sonics,sonics_gamma_120s,95.73
pitch_shift,real_sonics,cnn_lara_dataset,98.34
pitch_shift,real_sonics,cnn_sonics,99.82
pitch_shift,real_sonics,svm_lara,0
pitch_shift,real_sonics,rf_lara,0
pitch_shift,real_sonics,knn_lara,0
pitch_shift,real_sonics,deezer,74.2
eq,udio_lara_cros_vila,sonics_alpha_5s,40.29
eq,udio_lara_cros_vila,sonics_beta_5s,31.3
eq,udio_lara_cros_vila,sonics_gamma_5s,21.74
eq,udio_lara_cros_vila,sonics_alpha_120s,26.38
eq,udio_lara_cros_vila,sonics_beta_120s,13.91
eq,udio_lara_cros_vila,sonics_gamma_120s,26.38
eq,udio_lara_cros_vila,cnn_lara_dataset,0.21
eq,udio_lara_cros_vila,cnn_sonics,0.11
eq,udio_lara_cros_vila,svm_lara,97.2
eq,udio_lara_cros_vila,rf_lara,94.1
eq,udio_lara_cros_vila,knn_lara,95.1
eq,udio_lara_cros_vila,deezer,54.57
eq,suno_lara_cros_vila,sonics_alpha_5s,25.29
eq,suno_lara_cros_vila,sonics_beta_5s,25.12
eq,suno_lara_cros_vila,sonics_gamma_5s,24.96
eq,suno_lara_cros_vila,sonics_alpha_120s,99.18
eq,suno_lara_cros_vila,sonics_beta_120s,99.01
eq,suno_lara_cros_vila,sonics_gamma_120s,99.18
eq,suno_lara_cros_vila,cnn_lara_dataset,74.02
eq,suno_lara_cros_vila,cnn_sonics,0.0
eq,suno_lara_cros_vila,svm_lara,25.1
eq,suno_lara_cros_vila,rf_lara,18.5
eq,suno_lara_cros_vila,knn_lara,25.8
eq,suno_lara_cros_vila,deezer,52.39
eq,real_lara_cros_vila,sonics_alpha_5s,91.14
eq,real_lara_cros_vila,sonics_beta_5s,94.15
eq,real_lara_cros_vila,sonics_gamma_5s,95.66
